var_x,var_y,cov_xy,anisotropy,fft_score,is_fake
0.002275624,0.021134749,-0.0003118912,0.8059945,105.29164,0
0.054977506,0.058678422,0.0039772806,0.077191606,111.31344,0
0.029614963,0.09488013,0.00048467342,0.52429247,101.31256,0
0.0036252309,0.025616402,0.0005451383,0.75294805,109.16356,0
0.046164237,0.06880824,0.0025727202,0.20197052,97.018875,0
0.0016354334,0.008506725,0.00024636887,0.67917067,104.78585,0
0.048275426,0.13342327,0.0063184677,0.47375137,109.9302,0
0.25724873,0.14587544,0.016482167,0.28812215,122.04098,0
0.042270258,0.08166333,-7.6876044e-05,0.31785616,106.99678,0
0.021890158,0.037193503,-0.014546612,0.5563644,99.31884,0
0.18206859,0.17886679,-0.10405048,0.5766268,112.81253,0
0.07590383,0.13179845,0.0034348683,0.2711329,105.79644,0
0.066354714,0.099380866,-0.0026968212,0.20190884,96.970055,0
0.017492376,0.08510557,-0.005878967,0.6688951,112.953415,0
0.04959534,0.10866473,0.0015068775,0.37372562,105.37439,0
0.01636453,0.05011096,-0.0036530353,0.5194054,108.02403,0
0.03964187,0.039788447,0.0055525755,0.13982037,96.75426,0
0.034129646,0.08597664,-0.0024269694,0.43356,111.35167,0
0.010760013,0.007699704,-0.0001240752,0.16631824,81.85439,0
0.015147197,0.07293499,-0.0013960355,0.6568246,104.30016,0
0.04050502,0.09509217,-0.004291796,0.407512,105.13124,0
0.14281502,0.18255436,0.00471226,0.12552343,109.92717,0
0.010070155,0.05557386,0.0029862951,0.6991239,110.680244,0
0.011380013,0.061258662,0.01014491,0.74129647,114.57627,0
0.027167609,0.06768659,-0.0039766203,0.43531778,114.41109,0
0.087797344,0.077364355,0.008034656,0.11600125,99.099976,0
0.072406285,0.038390055,0.0015439332,0.30827537,94.493904,0
0.028879795,0.024512457,-0.0035471402,0.15602745,97.05249,0
0.026199346,0.04514575,-0.000627975,0.2661391,95.1918,0
0.04991073,0.032083858,-0.002507231,0.22584991,102.437744,0
0.056486767,0.036558226,0.0056275907,0.24597771,90.68234,0
0.024797011,0.01674086,0.0039308113,0.2709849,90.49187,0
0.06423163,0.03264984,-0.0027103308,0.33074722,109.32031,0
0.03676053,0.035919674,0.0010702703,0.03164189,98.087265,0
0.054156635,0.051802535,-0.00013811405,0.022369284,104.748604,0
0.0059488006,0.015007134,8.442862e-05,0.43231067,97.733734,0
0.03462,0.039998174,0.0022607746,0.094162375,102.899796,0
0.041265268,0.03697862,0.0036803216,0.10886195,99.63194,0
0.046429463,0.04683998,0.0045911684,0.09854687,95.43106,0
0.067880705,0.06479529,0.00010337336,0.023307176,98.962204,0
0.03251243,0.036381274,0.0012665867,0.06712251,95.54829,0
0.03676053,0.035919674,0.0010702703,0.03164189,98.087265,0
0.10802891,0.042230967,0.0026619125,0.4393224,109.12278,0
0.043209713,0.05757326,0.0043387297,0.16650693,110.68277,0
0.03960192,0.024547245,0.004124491,0.26759878,102.09942,0
0.018021736,0.011851004,-0.0017287219,0.23677383,81.37581,0
0.024823766,0.023996139,3.3359916e-05,0.017007329,85.61523,0
0.06527785,0.044909194,-0.000667883,0.18525065,106.28502,0
0.037032545,0.04227189,0.0007972729,0.06905726,90.18059,0
0.07457836,0.07764058,0.004135464,0.057939913,98.31203,0
0.10191589,0.07916407,-0.0035758317,0.13170543,102.91294,0
0.0121134315,0.007829689,0.000121511825,0.21513256,76.907715,0
0.06636762,0.04348852,-2.8234184e-05,0.2082629,95.67924,0
0.09291598,0.06622236,0.0020489353,0.16970244,96.117966,0
0.029331865,0.030820245,-0.0043986626,0.1483272,91.98844,0
0.050143905,0.03484921,0.0022015471,0.1872585,90.917175,0
0.029887881,0.049078286,0.0043940786,0.26728767,105.345474,0
0.10045868,0.3330043,0.003179598,0.5366825,128.54929,0
0.050823927,0.032973185,0.002509619,0.22128145,100.05075,0
0.03858196,0.01909039,0.00079861784,0.33909777,90.32353,0
0.042412277,0.023533884,0.0030601046,0.3009329,93.63101,0
0.03923785,0.046618972,-0.00080371567,0.08798412,97.976616,0
0.057564516,0.032019217,0.0006686978,0.28554294,103.997894,0
0.048352953,0.038886104,0.0062749796,0.18019402,104.94934,0
0.034364942,0.026971875,0.0082570175,0.2949794,94.75979,0
0.009278957,0.009473471,0.0017382719,0.1856717,145.10475,0
0.026206741,0.026700772,0.0022091889,0.084030196,86.24487,0
